fetch_date,today_date,site_updated,kind,model_id,model,dai,box_d2,box_d1,box_d0,hit_d2,hit_d1,hit_d0,prob_d2,prob_d1,prob_d0
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3565,e東京喰種W,0186,-1.6,-3.7,0.0,3,2,0,1/238,1/224,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3565,e東京喰種W,0187,-3.0,13.0,0.0,0,16,0,1/303,1/128,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3565,e東京喰種W,0188,17.4,-0.6,0.0,25,8,0,1/87,1/155,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3565,e東京喰種W,0189,-2.9,-6.8,0.0,3,2,0,1/636,1/342,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3565,e東京喰種W,0190,-10.3,-6.4,0.0,5,3,0,1/257,1/221,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3565,e東京喰種W,0191,19.2,-7.1,0.0,22,4,0,1/93,1/246,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3644,e東京ﾘﾍﾞﾝｼﾞｬｰｽﾞGFEC,0380,-0.5,-1.8,0.0,0,1,0,1/42,1/192,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3644,e東京ﾘﾍﾞﾝｼﾞｬｰｽﾞGFEC,0381,-4.1,-2.9,0.0,0,1,0,1/365,1/274,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3644,e東京ﾘﾍﾞﾝｼﾞｬｰｽﾞGFEC,0382,-0.3,-3.5,0.0,0,1,0,1/34,1/346,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3791,e東京ﾘﾍﾞﾝｼﾞｬｰｽﾞ聖夜決戦編EREC,0366,-0.1,2.3,0.0,0,7,0,1/8,1/91,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3791,e東京ﾘﾍﾞﾝｼﾞｬｰｽﾞ聖夜決戦編EREC,0367,-0.8,-6.8,-0.5,0,3,0,1/65,1/219,1/51
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3792,e無職転生異世界行ったら本気だす,0368,-4.6,4.0,-0.8,6,9,0,1/423,1/282,1/70
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3656,e牙狼12XX-MJ,0233,-0.7,-5.6,0.0,1,1,0,1/158,1/570,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3656,e牙狼12XX-MJ,0234,-1.7,-3.2,0.0,0,1,0,1/173,1/465,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3656,e牙狼12XX-MJ,0235,-0.2,-2.2,0.0,0,11,0,1/31,1/232,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3656,e牙狼12XX-MJ,0236,-2.1,-13.8,0.0,3,2,0,1/234,1/770,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3746,e牙狼ﾄﾘﾌﾟﾙﾊﾞｰｽﾄRF,0177,-0.1,-1.4,0.0,0,10,0,1/29,1/363,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3747,e甲鉄城のｶﾊﾞﾈﾘ2GFEA,0371,0.0,-0.5,0.0,0,0,0,,1/45,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3720,e盾の勇者の成り上がりEREF,0245,-0.1,-0.9,0.0,0,1,0,1/14,1/86,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3731,e真北斗無双5夢幻闘双SCEA,0231,-0.6,-0.1,0.0,0,0,0,1/71,1/12,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3731,e真北斗無双5夢幻闘双SCEA,0232,-0.1,-0.3,0.0,0,0,0,1/5,1/27,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3653,e真･一騎当千~軍神覚醒~AM-TS,0408,2.0,5.5,0.0,15,14,0,1/133,1/162,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3793,e結城友奈は勇者であるMP,0369,0.0,-0.3,0.0,0,0,0,,1/29,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3650,e花の慶次~傾奇一転H6,0355,0.0,-1.3,0.0,0,0,0,,1/141,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3650,e花の慶次~傾奇一転H6,0356,-0.9,0.0,0.0,0,0,0,1/132,,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3696,e花の慶次~黄金の一撃H4,0372,-3.8,-0.1,0.0,1,0,0,1/456,1/9,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3696,e花の慶次~黄金の一撃H4,0373,-0.6,-13.2,-2.2,0,4,2,1/57,1/751,1/149
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3696,e花の慶次~黄金の一撃H4,0374,2.8,0.0,0.0,17,0,0,1/169,,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3822,e魔女と野獣FKZ,0178,6.4,5.4,-1.5,24,25,0,1/343,1/323,1/278
